ambito_nombre,embalse_nombre,porcentaje_medio_10
Guadalquivir,puente nuevo,54.01119926199262
Guadalquivir,quiebrajano,56.10079335793358
Guadalquivir,quéntar,70.34747232472326
Guadalquivir,retortillo,64.73636531365314
Guadalquivir,rumblar,56.00075645756458
Guadalquivir,san clemente,18.534464944649446
Guadalquivir,san rafael de navallana,53.36197416974169
Guadalquivir,sierra boyera,64.66557195571956
Guadalquivir,siles,71.04312925170068
Guadalquivir,torre del águila,36.51457564575646
Guadalquivir,tranco de beas,60.66177121771218
Guadalquivir,vadomojón,54.53374538745388
Guadalquivir,víboras,48.68909594095941
Guadalquivir,yeguas,53.678653136531366
Guadalquivir,zocueca,20.0
Guadalquivir,zufre,76.12979704797047
Guadiana,"aguijón, el",89.6689298892989
Guadiana,alange,49.855940959409594
Guadiana,alcollarín,25.523636363636363
Guadiana,andévalo,73.5960552763819
Guadiana,boquerón,75.00035055350554
Guadiana,brovales,77.43680811808117
Guadiana,búrdalo,18.95151515151515
Guadiana,canchales,68.66950184501846
Guadiana,cancho del fresno,73.52985239852399
Guadiana,castilseras,88.51985559566786
Guadiana,chanza,58.026125461254615
Guadiana,cijara,52.84236162361624
Guadiana,cornalbo,10.582638376383764
Guadiana,cubilar,38.191881918819185
Guadiana,el vicario,46.79389298892989
Guadiana,garcía de sola,56.362250922509226
Guadiana,gargáligas,69.170110701107
Guadiana,gasset,42.53138376383764
Guadiana,horno tejero,86.64667896678966
Guadiana,la cabezuela,54.70226937269373
Guadiana,la serena,55.07568265682657
Guadiana,llerena,80.44472324723247
Guadiana,los molinos,84.57832103321033
Guadiana,montijo,89.23177121771218
Guadiana,nogales,83.40715867158671
Guadiana,orellana,71.97479704797047
Guadiana,peñarroya,78.51503690036901
Guadiana,piedra aguda,67.2739852398524
Guadiana,proserpina,83.5239852398524
Guadiana,pto. vallehermoso,76.48763837638377
Guadiana,ruecas,68.72273062730628
Guadiana,sierra brava,64.57487084870849
Guadiana,tentudia,66.6789667896679
Guadiana,torre de abrahán,40.401771217712174
Guadiana,valuengo,74.40959409594096
Guadiana,vega del jabalón,47.92726937269373
Guadiana,villalba de los barros,73.23939393939395
Guadiana,villar del rey,68.4088745387454
Guadiana,zújar,80.14926199261993
Júcar,alarcón,50.320590405904056
Júcar,algar,3.3216236162361628
Júcar,amadorio,42.67758302583026
Júcar,arenós,42.358653136531366
Júcar,arquillo de san blas,71.5070295202952
Júcar,bellús,17.968708487084868
Júcar,benagéber,52.8619926199262
Júcar,beniarrés,53.4920479704797
Júcar,buseo,40.10608856088561
Júcar,contreras,38.1610147601476
Júcar,cortes ii,91.21357933579336
Júcar,el naranjero,71.72071955719557
Júcar,escalona,5.040682656826568
Júcar,forata,26.409428044280443
Júcar,guadalest,54.95392988929889
Júcar,la muela,57.28782287822878
Júcar,la toba,52.7859778597786
Júcar,loriguilla,30.139446494464945
Júcar,maría cristina,30.01308118081181
Júcar,regajo,63.80623616236163
Júcar,sichar,68.39367158671587
Júcar,tous - la ribera,28.98583025830258
Júcar,ulldecona,51.15787822878229
Miño - Sil,albarellos,42.968597785977856
Miño - Sil,bao,72.08599630996311
Miño - Sil,belesar,58.666568265682656
Miño - Sil,bárcena,59.09313653136531
Miño - Sil,"campañana, la",63.58736162361623
Miño - Sil,castrelo,86.75254612546125
Miño - Sil,cenza,59.18357933579336
Miño - Sil,chandrexa,57.72483394833949
Miño - Sil,"conchas, las",56.71125461254613
Miño - Sil,edrada-mao,52.833431734317344
Miño - Sil,frieira,88.71581180811809
Miño - Sil,guístolas,64.98154981549816
Miño - Sil,matalavilla,53.153357933579336
Miño - Sil,montefurado,92.58302583025831
Miño - Sil,"peares, os",96.10725092250922
Miño - Sil,peñarrubia,85.54075645756458
Miño - Sil,"portas, las",67.47832103321034
Miño - Sil,prada,71.4790405904059
Miño - Sil,pías (san agustín),62.4169741697417
Miño - Sil,"rozas, las",50.527121771217715
Miño - Sil,salas,44.039354243542434
Miño - Sil,san martiño,89.48339483394834
Miño - Sil,san pedro,76.38142066420663
Miño - Sil,san sebastián,54.327896678966795
Miño - Sil,san. estevo,84.67481549815498
Miño - Sil,santa eulalia,77.80442804428044
Miño - Sil,sequeiros,90.96031365313652
Miño - Sil,velle,79.07440959409594
Miño - Sil,vilasouto,56.55409594095941
Segura,alfonso xiii,24.614723247232472
Segura,algeciras,36.162656826568266
Segura,anchuricas,87.91345018450184
Segura,argos,68.8929889298893
Segura,camarillas,46.530221402214025
Segura,cenajo,48.320166051660514
Segura,"cierva, la",53.79547970479705
Segura,crevillente,41.158321033210335
Segura,fuensanta,37.250036900369004
Segura,la pedrera,40.90915129151291
Segura,puentes,33.80691881918819
Segura,santomera,10.557730627306274
Segura,taibilla,52.481125461254614
Segura,talave,48.22911439114391
Segura,valdeinfierno,5.8165682656826565
Tajo,aceña,63.67614391143912
Tajo,alcorlo,45.17837638376384
Tajo,alcántara,66.18439114391144
Tajo,almoguera,84.68247232472324
Tajo,"atance, el",38.00232472324723
Tajo,"atazar, el",77.25121771217712
Tajo,azután,68.17540590405903
Tajo,baños,68.5040590405904
Tajo,beleña,64.6730073800738
Tajo,bolarque,84.15153136531364
Tajo,borbollon,57.713450184501845
Tajo,buendía,20.996439114391144
Tajo,burguillo - puente nuevo,59.793929889298894
Tajo,castrejón,93.44942804428045
Tajo,"castro, el",26.199261992619927
Tajo,cazalegas,98.10169741697418
Tajo,cedillo,93.38527675276752
Tajo,cáceres - guadiloba,57.42619926199262
Tajo,entrepeñas,31.60977859778598
Tajo,finisterre,16.68474169741697
Tajo,gabriel y galán,52.019243542435426
Tajo,guajaraz,71.24872693726937
Tajo,guijo de granadilla,87.74007380073802
Tajo,"jarosa, la",65.33878228782288
Tajo,jerte - plasencia,67.87566420664207
Tajo,molino de chincha,92.58824723247233
Tajo,navacerrada,59.913671586715864
Tajo,navalcán,73.09536900369004
Tajo,navamuño,64.25963099630997
Tajo,"pardo, el",31.734132841328417
Tajo,picadas,96.02512915129152
Tajo,pinilla,71.27112546125461
Tajo,portaje,60.09140221402214
Tajo,"portiña, la",37.49077490774908
Tajo,puentes viejas,77.97488929889299
Tajo,pálmaces,52.71981549815498
Tajo,riosequillo,76.58671586715867
Tajo,rivera de gata,65.3780073800738
Tajo,rosarito,62.41555350553506
Tajo,salor,47.443228782287825
Tajo,san juan,60.7799446494465
Tajo,santillana,73.35653136531364
Tajo,"tajera, la",37.3269926199262
Tajo,torcón,42.514483394833945
Tajo,torrejón (tajo - tietar),87.4419926199262
Tajo,"vado, el",48.44147601476015
Tajo,valdecañas,54.4889852398524
Tajo,valdeobispo,92.57153136531366
Tajo,valmayor,67.7909409594096
Tajo,"vellón,el-(pedrezuela)",69.96658671586715
Tajo,"villar, el",86.38629151291514
"Tinto, Odiel y Piedras",corumbel bajo,60.477896678966786
"Tinto, Odiel y Piedras",jarrama,82.88468634686348
"Tinto, Odiel y Piedras",los machos,66.91278597785978
"Tinto, Odiel y Piedras",odiel,87.59225092250922
"Tinto, Odiel y Piedras",olivargas,98.43466789667896
"Tinto, Odiel y Piedras",piedras,66.12579335793357
"Tinto, Odiel y Piedras",sancho,82.75680811808118
